ticker,final_score,trade_action,raw_score,options_score,ivp,vrp,ivp_score,vrp_score,phi_score,psi_score,si_avoidance_score,put_skew_penalty,scoring_date,signal_version,regime,regime_gate
ENTA,41.545,BUY,83.09,83.09,98.30508474576273,94.50574484836584,100.0,83.09,100.0,83.09,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
EOLS,2.715,AVOID,5.43,5.43,72.88135593220339,-36.33905279560828,73.21,5.43,73.21,5.43,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
EPRX,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ERAS,28.76,WATCH,57.52,57.52,25.42372881355932,51.42248876456093,23.21,57.52,23.21,57.52,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ESPR,25.81,WATCH,51.62,51.62,88.13559322033898,41.47756156489169,89.29,51.62,89.29,51.62,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ETON,22.6,WATCH,45.2,45.2,67.79661016949152,30.66520627523147,67.86,45.2,67.86,45.2,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
EVMN,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
EWTX,16.39,WATCH,32.78,32.78,23.728813559322035,9.738659331334569,21.43,32.78,21.43,32.78,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
EXAS,17.475,WATCH,34.95,34.95,96.61016949152544,13.387658221901754,98.21,34.95,98.21,34.95,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
EXEL,12.5,AVOID,25.0,25.0,11.864406779661016,-3.379537863410569,8.93,25.0,8.93,25.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
FATE,11.26,AVOID,22.52,22.52,3.389830508474576,-7.554988689724524,0.0,22.52,0.0,22.52,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
