ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
ONC,277.74,275.285,0.8918,,,,,,2026-03-23
ONCY,0.9628,0.9574,0.564,,,,,,2026-03-23
OPK,1.12,1.11,0.9009,,,,,,2026-03-23
ORGO,2.49,2.38,4.6218,,,,,,2026-03-23
ORIC,11.3,11.17,1.1638,,,,,,2026-03-23
ORKA,41.225,38.86,6.0859,,,,,,2026-03-23
OVID,2.59,2.615,-0.956,,,,,,2026-03-23
PACB,1.41,1.325,6.4151,,,,,,2026-03-23
PAHC,53.55,50.91,5.1856,,,,,,2026-03-23
PALI,1.915,1.9,0.7895,,,,,,2026-03-23
PBH,62.58,60.98,2.6238,,,,,,2026-03-23
PBYI,6.27,6.13,2.2838,,,,,,2026-03-23
PCRX,22.74,22.14,2.71,,,,,,2026-03-23
PCVX,55.77,54.77,1.8258,,,,,,2026-03-23
PEPG,4.83,4.71,2.5478,,,,,,2026-03-23
PFE,26.855,26.99,-0.5002,,,,,,2026-03-23
PGEN,3.315,3.29,0.7599,,,,,,2026-03-23
PHAT,11.275,11.23,0.4007,,,,,,2026-03-23
PHVS,25.975,25.98,-0.0192,,,,,,2026-03-23
PLX,2.185,2.14,2.1028,,,,,,2026-03-23
PRAX,305.74,297.95,2.6145,,,,,,2026-03-23
PRGO,9.735,9.245,5.3002,,,,,,2026-03-23
PRME,3.68,3.53,4.2493,,,,,,2026-03-23
PROK,1.925,1.925,0.0,-13.4831,7.115,0.461,-72.9445,317.5705,2026-03-23
PRTA,8.94,8.74,2.2883,,13.655,4.33,-34.5295,106.4665,2026-03-23
PSNL,7.74,7.28,6.3187,,,,,,2026-03-23
PTCT,67.015,65.3,2.6263,,,,,,2026-03-23
